code,name,total_return,trade_count,max_drawdown,sharpe_ratio
300179,四方达,2.74195928536461,7.0,0.2500656110576502,1.0744111916581027
2275,桂林三金,2.734276352098771,6.0,0.1905579399141631,1.072742131001111
300655,晶瑞电材,2.7290058315270507,7.0,0.3934005893913663,0.972529229197
3005,竞业达,2.727110413876127,12.5,0.3382390826522836,1.1146874603362795
2492,恒基达鑫,2.721357013712461,13.5,0.2550015323925162,0.992246528868198
632,ST三木,2.721238738970384,8.5,0.349286077420292,1.1072596437942142
300440,运达科技,2.7059724506761325,9.0,0.3539217136938438,0.9941857057454012
2017,东信和平,2.7057449394664173,10.0,0.2320440884434429,1.022522408241604
300187,永清环保,2.6951194590059324,3.5,0.2464539007092195,0.9427987247183544
301039,中集车辆,2.685708510240364,9.5,0.2323196444897645,1.1434124909359609
300825,阿尔特,2.679764200533384,15.0,0.3222561370973325,0.946254049194786
300735,光弘科技,2.6735464232438426,6.0,0.1608465608465613,1.0501067478044634
300430,*ST益通,2.6326478703375886,13.0,0.2761087051080813,0.936320098897865
300037,新宙邦,2.6200233180193817,6.5,0.2259055310408048,1.0153940445202094
2366,融发核电,2.6145541057571977,13.0,0.3154387971600272,1.0706881623821851
600051,宁波联合,2.609021127547838,8.0,0.2127303182579568,0.9551894531122836
301072,中捷精工,2.5973779174421283,12.0,0.3574513430332545,1.0102556824441948
2905,金逸影视,2.596654948323342,12.5,0.3415817301616951,0.8487061293414339
300447,全信股份,2.585445041958378,15.5,0.3429542091604445,0.7587436904701432
2451,摩恩电气,2.580393009093272,11.0,0.2595014714389926,1.019217029669636
2084,海鸥住工,2.568609850427153,7.0,0.2334479633515004,1.172545599620801
729,燕京啤酒,2.5624567948969834,8.5,0.1517990206514796,1.1795012123393789
300921,南凌科技,2.560578513293273,12.0,0.2993234541334507,0.8660371635675824
300115,长盈精密,2.55366090300408,16.0,0.3514129714824354,0.9087135227225284
300637,扬帆新材,2.549272283127322,9.0,0.2827356130108416,0.8561293807145803
300693,盛弘股份,2.5432622499120003,6.5,0.2486793002915452,0.8545073598075393
2867,周大生,2.5415262637187426,9.5,0.2597225228645174,1.1052333768619298
300554,三超新材,2.5287145469406784,9.5,0.3446560877094561,0.9059459545045058
58,深 赛 格,2.5140655114372192,13.0,0.3112094395280236,0.8504341509490574
300690,双一科技,2.510108624396476,6.0,0.2246641849426585,1.0770788774258226
300375,鹏翎股份,2.504899732128491,4.0,0.247086247086247,0.9976699554623536
300789,唐源电气,2.4998518390566784,15.0,0.3046422169131633,0.7745817158080257
2339,积成电子,2.499398620602478,20.5,0.3721345636134585,0.8356998914457187
702,正虹科技,2.493948744128375,13.5,0.2659198113207545,0.945663462239862
600152,维科技术,2.4932287881009065,10.0,0.3017832647462272,0.9515682634682416
2114,罗平锌电,2.4931392141392683,12.0,0.3432942044797381,0.973778290973066
300404,博济医药,2.489405805993661,14.0,0.3297883675963923,0.902232335139622
2574,明牌珠宝,2.4887129423764742,7.5,0.3446611354335688,0.9510684585280588
2796,世嘉科技,2.46574407384995,5.0,0.1953642384105959,1.0642256424550758
2403,爱仕达,2.4546049988323286,4.0,0.1374269005847955,1.1837425912886417
300034,钢研高纳,2.4543011049440238,6.5,0.2377554821490518,1.1338590308651528
300515,三德科技,2.452626745203415,24.5,0.3351421048634012,0.7303557784700033
301215,中汽股份,2.448914292664037,9.5,0.1431127012522358,1.4470812081239262
2282,博深股份,2.4432933619419317,14.0,0.2570043851016252,0.9340723089373054
300703,创源股份,2.44212244135918,14.0,0.3399467129391337,0.9360581060877669
300507,苏奥传感,2.43532499613566,9.5,0.2213438735177865,0.9428619855450712
300667,必创科技,2.4353091161466542,15.5,0.3324111110252569,0.845718281785956
300040,九洲集团,2.4106619425673164,6.5,0.2039473684210527,1.0630508972002408
2166,莱茵生物,2.4075753204398693,10.5,0.2520472809218081,0.8284927627581672
2639,雪人集团,2.3968258214472224,10.0,0.2945724150727645,0.9718879039671962
2779,中坚科技,2.3866218175473004,10.0,0.2749169435215949,0.976462187526417
300753,爱朋医疗,2.365113272043466,7.0,0.1743083405894282,1.1238776584133745
300993,玉马科技,2.3615225749177653,15.0,0.2568801016892046,0.9874398160049164
300548,长芯博创,2.352524631755992,13.0,0.3935522627152586,0.8176558316095877
301208,中亦科技,2.339863627548476,5.0,0.1624266144814093,1.327854075989161
159,国际实业,2.3374216741964875,11.0,0.2311938031305135,0.8999210287638704
2406,远东传动,2.332915700885233,10.5,0.2113275598146322,0.9353118649192812
301133,金钟股份,2.330458464611372,16.0,0.2774522303749804,0.9294556740918656
948,南天信息,2.32974265306452,10.0,0.2947460191169951,1.0548311846432814
555,神州信息,2.3192845364136114,9.5,0.2340934943135656,1.096914440028838
2971,和远气体,2.316225828015199,12.0,0.2607121303560654,0.9258196043850428
301233,盛帮股份,2.3066206661802107,6.0,0.2597703493367005,1.1650421842130436
300378,鼎捷数智,2.305862832293906,15.5,0.3875705214639204,0.7835574998448723
300987,川网传媒,2.296838772260581,11.5,0.3067577301988817,0.9196407931129338
529,广弘控股,2.293651961608055,7.5,0.244901796480615,1.2393250868174115
2448,中原内配,2.289360708520781,6.5,0.2591808639499931,0.96268656345796
301045,天禄科技,2.285012708837112,12.0,0.3463458591103643,0.9728163720234012
2571,德力股份,2.2820160569482613,10.0,0.3223786715909743,0.8616169483483966
300936,中英科技,2.2725829826978625,19.0,0.3804178717741674,0.8144725853949961
2213,大为股份,2.265366625842269,15.0,0.3592241302138659,0.8613845999418127
301297,富乐德,2.265217163085152,3.5,0.2772801302931595,1.3866604523696184
2613,北玻股份,2.259105495771734,4.0,0.1455525606469008,1.1841722225415552
300250,初灵信息,2.2587310530610782,8.0,0.2721562815108189,0.8198409096595016
2696,百洋股份,2.25605432303316,13.0,0.3327948972829688,0.8924206572539415
300733,西菱动力,2.2549765566985447,10.5,0.3321322295123507,0.8237113652905617
779,甘咨询,2.251919996675325,10.0,0.3850658412907288,0.99291252049147
300131,英唐智控,2.2465540977696543,20.0,0.3569440886469824,0.7553035793090254
300084,海默科技,2.245942726901988,10.5,0.2297773676863746,0.9316206389497608
2995,天地在线,2.2359578518439727,7.5,0.22717720751667,1.0064297982047723
300879,大叶股份,2.2318340479399428,7.0,0.2273699215965785,0.910841072092318
300401,花园生物,2.227284846873156,6.5,0.1302378255945641,1.2982574295664764
300771,智莱科技,2.222565577915516,7.0,0.3665719364968066,0.9995981485229584
985,大庆华科,2.210174208355149,10.0,0.2117999114517529,0.8651376449699286
901,航天科技,2.1997740737665854,12.0,0.2923555863023174,0.9199482030714764
300359,全通教育,2.1978921714568003,8.5,0.2306273062730629,0.926436570847741
2772,众兴菌业,2.196817264492372,11.5,0.2617112023293291,0.8572415834556105
600158,中体产业,2.1851875533304077,10.5,0.2583387750824324,0.919696919834824
